métier,description
DATA SCIENTISTE,"Analyse des données complexes pour en extraire des insights et construire des modèles prédictifs. Utilise des techniques de machine learning, statistiques et programmation. Aide à la prise de décision stratégique basée sur la donnée."
DATA ANALYSTE,"Collecte, traite et analyse des données pour produire des rapports opérationnels. Crée des tableaux de bord et visualisations. Soutient les équipes métiers dans le suivi de performance."
CHIEF DATA OFFICER,"Définit et pilote la stratégie data de l’organisation. Garantit la gouvernance, la qualité et la valorisation des données. Encadre les équipes data et assure la conformité réglementaire."
DATA ENGINEER,"Conçoit et maintient les pipelines de données et infrastructures associées. Assure la collecte, transformation et stockage des données. Travaille étroitement avec les data scientists et analystes."
DÉLÉGUÉ À LA PROTECTION DES DONNÉES (DPO),"Veille au respect des réglementations sur les données personnelles (RGPD). Sensibilise et conseille l’organisation sur les enjeux de protection des données. Interagit avec les autorités de contrôle."
DATA ARCHITECT,"Définit l’architecture globale des systèmes de données. Conçoit les modèles de données et les flux d’information. Garantit la cohérence, performance et évolutivité des solutions data."
DIRECTEUR DE PROJETS,"Supervise un portefeuille de projets stratégiques. Pilote les budgets, délais et ressources. Assure l’alignement avec les objectifs de l’entreprise."
CHEF DE PROJET MAÎTRISE D'OUVRAGE,"Représente le besoin métier auprès des équipes techniques. Rédige les spécifications fonctionnelles et valide les livrables. Garantit l’adéquation entre solution et besoin."
CHEF DE PROJET MAÎTRISE D’ŒUVRE,"Pilote la réalisation technique des projets. Coordonne les équipes de développement et assure la qualité des livrables. Respecte les contraintes de délais, coûts et performance."
COACH AGILE,"Accompagne les équipes dans l’adoption des méthodes agiles. Favorise l’amélioration continue et la collaboration. Intervient sur les pratiques, la culture et l’organisation."
SCRUM MASTER,"Facilite le travail d’une équipe Scrum. Anime les rituels agiles et supprime les obstacles. Veille au respect du cadre Scrum."
PRODUCT OWNER,"Porte la vision produit et priorise le backlog. Traduit les besoins utilisateurs en user stories. Travaille en lien étroit avec les équipes de développement."
CHARGÉ DE PILOTAGE SI (PMO),"Suit et pilote les projets du système d’information. Met en place des indicateurs de performance et des reportings. Assure la coordination entre projets et direction."
PRODUCT MANAGER,"Définit la stratégie produit et son positionnement. Analyse le marché, les utilisateurs et la concurrence. Pilote le cycle de vie du produit."
RESPONSABLE DES SYSTÈMES APPLICATIFS,"Gère le portefeuille d’applications de l’entreprise. Assure leur maintenance, évolution et performance. Encadre les équipes techniques associées."
CONCEPTEUR / DÉVELOPPEUR,"Conçoit et développe des applications informatiques. Rédige le code, teste et maintient les solutions. Participe à l’amélioration continue des systèmes."
TESTEUR,"Vérifie la conformité et la qualité des applications. Réalise des tests fonctionnels et techniques. Identifie et suit les anomalies."
INTÉGRATEUR D’APPLICATIONS,"Assemble et déploie les composants logiciels. Assure la compatibilité entre systèmes. Participe aux phases de test et mise en production."
PARAMÉTREUR DE PROGICIELS,"Configure des logiciels métiers selon les besoins clients. Adapte les fonctionnalités sans développement lourd. Accompagne les utilisateurs dans la prise en main."
